"obsYears","collarCount","cowMult","collarInterval","assessmentYrs","tA","obsAnthroSlope","projAnthroSlope","rep","interannualVar","sQuantile","rQuantile","preYears","iAnthro","projYears","repBatch","N0","qMax","uMax","zMax","pageLab","pageId"
8,20,6,1,1,0,0,1,4,"list(R_CV=0.46,S_CV=0.087)",0.405815306548029,0.85804105901625,16,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
16,20,6,1,1,0,0,1,4,"list(R_CV=0.46,S_CV=0.087)",0.405815306548029,0.85804105901625,8,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
24,20,6,1,1,0,0,1,4,"list(R_CV=0.46,S_CV=0.087)",0.405815306548029,0.85804105901625,0,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
2,60,6,1,1,0,0,1,4,"list(R_CV=0.46,S_CV=0.087)",0.405815306548029,0.85804105901625,22,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
4,60,6,1,1,0,0,1,4,"list(R_CV=0.46,S_CV=0.087)",0.405815306548029,0.85804105901625,20,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
8,60,6,1,1,0,0,1,4,"list(R_CV=0.46,S_CV=0.087)",0.405815306548029,0.85804105901625,16,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
16,60,6,1,1,0,0,1,4,"list(R_CV=0.46,S_CV=0.087)",0.405815306548029,0.85804105901625,8,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
24,60,6,1,1,0,0,1,4,"list(R_CV=0.46,S_CV=0.087)",0.405815306548029,0.85804105901625,0,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
2,20,6,1,1,20,1,1,4,"list(R_CV=0.46,S_CV=0.087)",0.786479710279964,0.200403076941147,22,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
4,20,6,1,1,20,1,1,4,"list(R_CV=0.46,S_CV=0.087)",0.786479710279964,0.200403076941147,20,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
8,20,6,1,1,20,1,1,4,"list(R_CV=0.46,S_CV=0.087)",0.786479710279964,0.200403076941147,16,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
16,20,6,1,1,20,1,1,4,"list(R_CV=0.46,S_CV=0.087)",0.786479710279964,0.200403076941147,8,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
24,20,6,1,1,20,1,1,4,"list(R_CV=0.46,S_CV=0.087)",0.786479710279964,0.200403076941147,0,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
2,60,6,1,1,20,1,1,4,"list(R_CV=0.46,S_CV=0.087)",0.786479710279964,0.200403076941147,22,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
4,60,6,1,1,20,1,1,4,"list(R_CV=0.46,S_CV=0.087)",0.786479710279964,0.200403076941147,20,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
