"obsYears","collarCount","cowMult","collarInterval","assessmentYrs","tA","obsAnthroSlope","projAnthroSlope","rep","interannualVar","sQuantile","rQuantile","preYears","iAnthro","projYears","repBatch","N0","qMax","uMax","zMax","pageLab","pageId"
8,60,6,1,1,40,1,1,1,"list(R_CV=0.46,S_CV=0.087)",0.136682377732359,0.954806256550364,16,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
16,60,6,1,1,40,1,1,1,"list(R_CV=0.46,S_CV=0.087)",0.136682377732359,0.954806256550364,8,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
24,60,6,1,1,40,1,1,1,"list(R_CV=0.46,S_CV=0.087)",0.136682377732359,0.954806256550364,0,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
2,20,6,1,1,0,0,1,2,"list(R_CV=0.46,S_CV=0.087)",0.790304780942388,0.026052430504933,22,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
4,20,6,1,1,0,0,1,2,"list(R_CV=0.46,S_CV=0.087)",0.790304780942388,0.026052430504933,20,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
8,20,6,1,1,0,0,1,2,"list(R_CV=0.46,S_CV=0.087)",0.790304780942388,0.026052430504933,16,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
16,20,6,1,1,0,0,1,2,"list(R_CV=0.46,S_CV=0.087)",0.790304780942388,0.026052430504933,8,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
24,20,6,1,1,0,0,1,2,"list(R_CV=0.46,S_CV=0.087)",0.790304780942388,0.026052430504933,0,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
2,60,6,1,1,0,0,1,2,"list(R_CV=0.46,S_CV=0.087)",0.790304780942388,0.026052430504933,22,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
4,60,6,1,1,0,0,1,2,"list(R_CV=0.46,S_CV=0.087)",0.790304780942388,0.026052430504933,20,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
8,60,6,1,1,0,0,1,2,"list(R_CV=0.46,S_CV=0.087)",0.790304780942388,0.026052430504933,16,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
16,60,6,1,1,0,0,1,2,"list(R_CV=0.46,S_CV=0.087)",0.790304780942388,0.026052430504933,8,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
24,60,6,1,1,0,0,1,2,"list(R_CV=0.46,S_CV=0.087)",0.790304780942388,0.026052430504933,0,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
2,20,6,1,1,20,1,1,2,"list(R_CV=0.46,S_CV=0.087)",0.883007062398829,0.136623125271872,22,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
4,20,6,1,1,20,1,1,2,"list(R_CV=0.46,S_CV=0.087)",0.883007062398829,0.136623125271872,20,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
8,20,6,1,1,20,1,1,2,"list(R_CV=0.46,S_CV=0.087)",0.883007062398829,0.136623125271872,16,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
16,20,6,1,1,20,1,1,2,"list(R_CV=0.46,S_CV=0.087)",0.883007062398829,0.136623125271872,8,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
24,20,6,1,1,20,1,1,2,"list(R_CV=0.46,S_CV=0.087)",0.883007062398829,0.136623125271872,0,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
2,60,6,1,1,20,1,1,2,"list(R_CV=0.46,S_CV=0.087)",0.883007062398829,0.136623125271872,22,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
4,60,6,1,1,20,1,1,2,"list(R_CV=0.46,S_CV=0.087)",0.883007062398829,0.136623125271872,20,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
8,60,6,1,1,20,1,1,2,"list(R_CV=0.46,S_CV=0.087)",0.883007062398829,0.136623125271872,16,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
16,60,6,1,1,20,1,1,2,"list(R_CV=0.46,S_CV=0.087)",0.883007062398829,0.136623125271872,8,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
24,60,6,1,1,20,1,1,2,"list(R_CV=0.46,S_CV=0.087)",0.883007062398829,0.136623125271872,0,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
2,20,6,1,1,40,1,1,2,"list(R_CV=0.46,S_CV=0.087)",0.716875878875144,0.461248068502173,22,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
4,20,6,1,1,40,1,1,2,"list(R_CV=0.46,S_CV=0.087)",0.716875878875144,0.461248068502173,20,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
8,20,6,1,1,40,1,1,2,"list(R_CV=0.46,S_CV=0.087)",0.716875878875144,0.461248068502173,16,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
16,20,6,1,1,40,1,1,2,"list(R_CV=0.46,S_CV=0.087)",0.716875878875144,0.461248068502173,8,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
24,20,6,1,1,40,1,1,2,"list(R_CV=0.46,S_CV=0.087)",0.716875878875144,0.461248068502173,0,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
2,60,6,1,1,40,1,1,2,"list(R_CV=0.46,S_CV=0.087)",0.716875878875144,0.461248068502173,22,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
4,60,6,1,1,40,1,1,2,"list(R_CV=0.46,S_CV=0.087)",0.716875878875144,0.461248068502173,20,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
8,60,6,1,1,40,1,1,2,"list(R_CV=0.46,S_CV=0.087)",0.716875878875144,0.461248068502173,16,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
16,60,6,1,1,40,1,1,2,"list(R_CV=0.46,S_CV=0.087)",0.716875878875144,0.461248068502173,8,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
24,60,6,1,1,40,1,1,2,"list(R_CV=0.46,S_CV=0.087)",0.716875878875144,0.461248068502173,0,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
2,20,6,1,1,0,0,1,3,"list(R_CV=0.46,S_CV=0.087)",0.976650609192438,0.379330723532476,22,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
4,20,6,1,1,0,0,1,3,"list(R_CV=0.46,S_CV=0.087)",0.976650609192438,0.379330723532476,20,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
8,20,6,1,1,0,0,1,3,"list(R_CV=0.46,S_CV=0.087)",0.976650609192438,0.379330723532476,16,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
16,20,6,1,1,0,0,1,3,"list(R_CV=0.46,S_CV=0.087)",0.976650609192438,0.379330723532476,8,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
24,20,6,1,1,0,0,1,3,"list(R_CV=0.46,S_CV=0.087)",0.976650609192438,0.379330723532476,0,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
2,60,6,1,1,0,0,1,3,"list(R_CV=0.46,S_CV=0.087)",0.976650609192438,0.379330723532476,22,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
4,60,6,1,1,0,0,1,3,"list(R_CV=0.46,S_CV=0.087)",0.976650609192438,0.379330723532476,20,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
8,60,6,1,1,0,0,1,3,"list(R_CV=0.46,S_CV=0.087)",0.976650609192438,0.379330723532476,16,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
16,60,6,1,1,0,0,1,3,"list(R_CV=0.46,S_CV=0.087)",0.976650609192438,0.379330723532476,8,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
24,60,6,1,1,0,0,1,3,"list(R_CV=0.46,S_CV=0.087)",0.976650609192438,0.379330723532476,0,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
2,20,6,1,1,20,1,1,3,"list(R_CV=0.46,S_CV=0.087)",0.144924101303332,0.870284828906879,22,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
4,20,6,1,1,20,1,1,3,"list(R_CV=0.46,S_CV=0.087)",0.144924101303332,0.870284828906879,20,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
8,20,6,1,1,20,1,1,3,"list(R_CV=0.46,S_CV=0.087)",0.144924101303332,0.870284828906879,16,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
16,20,6,1,1,20,1,1,3,"list(R_CV=0.46,S_CV=0.087)",0.144924101303332,0.870284828906879,8,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
24,20,6,1,1,20,1,1,3,"list(R_CV=0.46,S_CV=0.087)",0.144924101303332,0.870284828906879,0,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
2,60,6,1,1,20,1,1,3,"list(R_CV=0.46,S_CV=0.087)",0.144924101303332,0.870284828906879,22,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
4,60,6,1,1,20,1,1,3,"list(R_CV=0.46,S_CV=0.087)",0.144924101303332,0.870284828906879,20,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
8,60,6,1,1,20,1,1,3,"list(R_CV=0.46,S_CV=0.087)",0.144924101303332,0.870284828906879,16,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
16,60,6,1,1,20,1,1,3,"list(R_CV=0.46,S_CV=0.087)",0.144924101303332,0.870284828906879,8,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
24,60,6,1,1,20,1,1,3,"list(R_CV=0.46,S_CV=0.087)",0.144924101303332,0.870284828906879,0,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
2,20,6,1,1,40,1,1,3,"list(R_CV=0.46,S_CV=0.087)",0.342215195945464,0.386381864673458,22,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
4,20,6,1,1,40,1,1,3,"list(R_CV=0.46,S_CV=0.087)",0.342215195945464,0.386381864673458,20,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
8,20,6,1,1,40,1,1,3,"list(R_CV=0.46,S_CV=0.087)",0.342215195945464,0.386381864673458,16,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
16,20,6,1,1,40,1,1,3,"list(R_CV=0.46,S_CV=0.087)",0.342215195945464,0.386381864673458,8,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
24,20,6,1,1,40,1,1,3,"list(R_CV=0.46,S_CV=0.087)",0.342215195945464,0.386381864673458,0,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
2,60,6,1,1,40,1,1,3,"list(R_CV=0.46,S_CV=0.087)",0.342215195945464,0.386381864673458,22,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
4,60,6,1,1,40,1,1,3,"list(R_CV=0.46,S_CV=0.087)",0.342215195945464,0.386381864673458,20,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
8,60,6,1,1,40,1,1,3,"list(R_CV=0.46,S_CV=0.087)",0.342215195945464,0.386381864673458,16,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
16,60,6,1,1,40,1,1,3,"list(R_CV=0.46,S_CV=0.087)",0.342215195945464,0.386381864673458,8,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
24,60,6,1,1,40,1,1,3,"list(R_CV=0.46,S_CV=0.087)",0.342215195945464,0.386381864673458,0,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
2,20,6,1,1,0,0,1,4,"list(R_CV=0.46,S_CV=0.087)",0.405815306548029,0.85804105901625,22,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
4,20,6,1,1,0,0,1,4,"list(R_CV=0.46,S_CV=0.087)",0.405815306548029,0.85804105901625,20,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
